id,name,description,address,type,imageurl,imageurl2,imageurl3,place,rating
10,Estella," A modern beachfront restaurant offering contemporary Australian cuisine with Asian influences.","Nichani Kutir Building, Juhu Tara Road, Mumbai 400049.",restaurant,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/z/o/p30284-15017537285982f180dd2a9.jpg?tr=tr:n-xlarge,https://media.architecturaldigest.in/wp-content/uploads/2017/09/Estella-hi-res-3-866x487.jpg,https://media.architecturaldigest.in/wp-content/uploads/2017/09/Estella-hi-res-3-866x487.jpg,juhu,4.40
17,Eve,"A trendy restaurant with elegant interiors, known for its fusion dishes and cocktails.","Kamala Mills Compound, Mumbai 400013.",restaurant,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/u/j/p107831-1721262759669862a7246b8.jpg?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/v/e/p107831-1670653662639426deb0f0b.jpg?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/v/e/p107831-1670653662639426deb0f0b.jpg?tr=tr:n-xlarge,worli,4.10
25,"Fir milenge","A cozy caf̩ offering a mix of Indian and Continental comfort food.","Malad West, Mumbai 400064.",cafe,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/v/u/p183298-1711956418660a61c26d1f0.jpg?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/v/y/p183298-1711956506660a621a12373.jpg?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/v/y/p183298-1711956506660a621a12373.jpg?tr=tr:n-xlarge,malad,4.00
5,Flurys," A renowned tearoom and pastry shop offering a variety of cakes, pastries, and traditional English teas.","Colaba Causeway, Mumbai, Maharashtra 400005, India",cafe,https://assets.cntraveller.in/photos/66a258347a1925c324ecbff7/master/w_1600%2Cc_limit/Flury%2520title.jpg,https://im.whatshot.in/img/2019/Jun/fotojet-1560861491.jpg,https://im.whatshot.in/img/2019/Jun/fotojet-1560861491.jpg,colaba,4.00
36,Gaylord,"Established in 1956, it offers classic Continental and Indian dishes along with a bakery.","Veer Nariman Road, Churchgate, Mumbai 400020.",bar,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/w/k/p179089-171112522365fdb2e78c2fe.png?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/k/j/p179089-171112520865fdb2d8eaa86.png?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/u/o/p88497-1648217773623dceada3a37.jpg?tr=tr:n-xlarge,churchgate,4.30
38,Geoffrey's,"A classic British-style pub offering drinks and a range of multi-cuisine dishes.","Marine Drive, Churchgate, Mumbai 400020.",bar,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/k/u/p2087-14601103665707841e03200.jpg?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/k/u/p2087-14601103665707841e03200.jpg?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/r/o/p2087-146011035957078417361b6.jpg?tr=tr:n-xlarge,churchgate,4.20
22,"Good flippin burgers","A trendy burger joint known for its artisanal burgers and sides.","I.C. Colony, Borivali West, Mumbai 400103.","fast food",https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/v/f/p8014-16704881886391a07cd6996.jpg?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/8/v/f/p8014-16704881886391a07cd6996.jpg?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/t/l/p112604-16704901846391a84852353.jpg?tr=tr:n-xlarge,borivali,4.30
12,"Haji ali juice  centre","Renowned for fresh fruit juices, milkshakes, and snacks, located near the iconic Haji Ali Dargah.","Haji Ali Circle, Lala Lajpat Rai Marg, Mumbai 400034.",juice,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/r/t/p163616-170805567365cedc79e9124.png?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/q/s/p163616-170805595465cedd9235a19.png?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/m/w/p163616-170805568465cedc8475888.png?tr=tr:n-xlarge,"haji ali",4.00
11,Jeon,"A premium caf̩ serving Continental and Italian fare, known for its cozy interiors.","Sea Princess Hotel, Juhu Tara Road, Mumbai 400049.",cafe,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/w/b/p200418-1719476207667d1fef0e243.PNG?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/a/h/p200418-1719476161667d1fc14d78f.PNG?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/a/h/p200418-1719476161667d1fc14d78f.PNG?tr=tr:n-xlarge,juhu,4.10
26,"Joey's pizza","A beloved pizzeria offering generously topped pizzas in a casual setting.","Evershine Nagar, Malad West, Mumbai 400064.","fast food",https://img.restaurantguru.com/r812-Maharaja-Bhog-dishes-2021-09-5.jpg,https://im.whatshot.in/img/2018/May/mb-cropped-1-1527790883.jpg?wm=1&w=1200&h=630&cc=1,https://im.whatshot.in/img/2018/May/mb-cropped-1-1527790883.jpg?wm=1&w=1200&h=630&cc=1,malad,4.40
3,"Leopold cafe","Established in 1871, Leopold Cafe is a landmark in Colaba, known for its old-world charm and diverse menu.","Shahid Bhagat Singh Road, Colaba Causeway, Mumbai, Maharashtra 400039, India.",cafe,https://thirdeyetraveller.com/wp-content/uploads/leopold-cafe-mumbai-shantaram-bombay-9-of-9.jpg,https://imgstaticcontent.lbb.in/lbbnew/wp-content/uploads/sites/7/2018/02/01121444/01022018_leopoldcafe_05.jpg,https://im.whatshot.in/img/2020/Jan/leopold-cafe-bar-colaba-causeway-mumbai-1580291746.jpg,colaba,4.10
14,"Liberty lunch home","A simple eatery specializing in Maharashtrian and Konkani meals.","Dhobi Talao, Marine Lines, Mumbai 400002.",restaurant,https://tse2.mm.bing.net/th?id=OIP.D_5eC52JQvsBCBkQVA1TKAHaE7&pid=Api&P=0&h=180,https://tse2.mm.bing.net/th?id=OIP.D_5eC52JQvsBCBkQVA1TKAHaE7&pid=Api&P=0&h=180,https://im.whatshot.in/img/2020/Jan/leopold-cafe-bar-colaba-causeway-mumbai-1580291746.jpg,marines,4.00
15,"Lord of the drinks","A popular resto-bar with a lively ambiance, offering cocktails and multi-cuisine dishes.","Kamala Mills Compound, Worli, Mumbai 400013.",bar,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/m/v/p37833-15295687905b2b5e1683ac8.jpg?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/m/v/p37833-15295687905b2b5e1683ac8.jpg?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/3/d/z/p37833-15295689755b2b5ecf588bb.jpg?tr=tr:n-xlarge,worli,4.30
29,Magari,"A cozy caf̩ known for its fusion dishes and creative desserts."," Kandivali West, Mumbai 400067.",cafe,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/l/n/p55899-1644991406620c93ae6a410.jpg?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/t/e/p55899-15568003915ccae3875cad9.jpg?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/5/q/u/p55899-15568004045ccae394ca79b.jpg?tr=tr:n-xlarge,kandivali,4.20
8,"Maharaja bhog","A vegetarian restaurant offering unlimited Rajasthani and Gujarati thalis in a traditional setting.","Juhu Tara Road, Juhu, Mumbai, Maharashtra 400049, India",restaurant,https://im.whatshot.in/img/2018/May/mb-cropped-1-1527790883.jpg?wm=1&w=1200&h=630&cc=1,https://im.whatshot.in/img/2018/May/mb-cropped-1-1527790883.jpg?wm=1&w=1200&h=630&cc=1,https://img.restaurantguru.com/r812-Maharaja-Bhog-dishes-2021-09-5.jpg,juhu,4.30
13,"Marines khaugalli","A bustling street food hub offering a variety of Indian snacks and local favorites.","Marine Lines, Mumbai 400002.","street food",https://www.fabhotels.com/blog/wp-content/uploads/2022/09/Mohammad-Ali-Road-Khau-Galli-1-768x499.jpg,https://www.fabhotels.com/blog/wp-content/uploads/2022/09/Mohammad-Ali-Road-Khau-Galli-1-768x499.jpg,https://tse3.mm.bing.net/th?id=OIP.LhZV4xjY9FuNxiTlWq3BpQHaE0&pid=Api&P=0&h=180,marines,4.10
23,Novaara,"A fine-dining restaurant offering a mix of Continental and Asian dishes.","Malad West, Mumbai 400064.",restaurant,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/c/p/p200871-17198382966682a658b9dbf.jpg?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/c/p/p200871-17198382966682a658b9dbf.jpg?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/c/p/p200871-17198382966682a658b9dbf.jpg?tr=tr:n-xlarge,malad,4.10
24,"Persia darbar","Popular for its Mughlai and North Indian cuisine, known for biryanis and kebabs.","S.V. Road, Malad West, Mumbai 400064.",restaurant,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/c/p/p200871-17198382966682a658b9dbf.jpg?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/c/p/p200871-17198382966682a658b9dbf.jpg?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/c/p/p200871-17198382966682a658b9dbf.jpg?tr=tr:n-xlarge,malad,4.20
34,"Pizza by the bae","A casual pizzeria offering gourmet pizzas and sides in a cozy setting.","Eros Building, Churchgate, Mumbai 400020.","fast food",https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/e/i/p144273-170517792865a2f348359be.JPG?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/u/f/p144273-170517793765a2f3512ed16.JPG?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/a/w/p144273-170517793365a2f34d1b3c8.JPG?tr=tr:n-xlarge,churchgate,4.30
9,"Pritam da dhaba","A rustic dhaba-style restaurant known for its hearty North Indian and Punjabi dishes.","Juhu Tara Road, Juhu, Mumbai, Maharashtra 400049, India.",restaurant,https://media-cdn.tripadvisor.com/media/photo-s/02/fe/f1/a5/pritam-da-dhaba.jpg,https://media-cdn.tripadvisor.com/media/photo-s/02/fe/f1/a5/pritam-da-dhaba.jpg,https://gumlet.assettype.com/freepressjournal/2022-10/d6351fe9-2b85-45d5-b816-137cd02d7f1c/1_pritam_original_butter_chicken_cropped_1634894028.jpg,juhu,4.00
6,"Prithvi cafe","A charming cafe located within the Prithvi Theatre premises, known for its serene ambiance and delectable chai.","20 Janki Kutir, Juhu Church Road, Mumbai, Maharashtra 400049, India.",cafe,https://d2dzi65yjecjnt.cloudfront.net/363520-1.jpg,https://imgstaticcontent.lbb.in/lbbnew/wp-content/uploads/sites/7/2016/11/11112016_PrithviCafe2.jpg,https://d2dzi65yjecjnt.cloudfront.net/363520-1.jpg,juhu,4.40
7,"Razzberry rhinoceros"," A beachfront restaurant offering a blend of global cuisines with a picturesque view of the Arabian Sea.","Juhu Hotel, Juhu Tara Road, Juhu, Mumbai, Maharashtra 400049, India.",restaurant,https://i.ytimg.com/vi/Pd_slfC45LE/maxresdefault.jpg,https://img4.nbstatic.in/tr:w-500/5c0e47a25f1503000d23316e.jpg,https://media-cdn.tripadvisor.com/media/photo-p/0f/64/0d/53/cocktail.jpg,juhu,4.20
28,Rizz,"A chic caf̩ offering a mix of Continental and Italian fare.","Mahavir Nagar, Kandivali West, Mumbai 400067.",cafe,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/h/t/p199009-1718686924667114ccc89b2.jpg?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/u/x/p199009-1718687090667115729ddf2.jpg?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/h/j/p199009-1718686886667114a63adab.jpg?tr=tr:n-xlarge,kandivali,4.10
4,Shamiana,"A contemporary restaurant that celebrates the flavors of India with a modern twist. It has quickly become one of Mumbai's most beloved dining spots.","The Taj Mahal Palace, Apollo Bunder, Mumbai, Maharashtra 400001, India.",restaurant,https://i0.wp.com/www.sassyshifsays.in/wp-content/uploads/2016/08/Shamiana-8.jpg?resize=750%2C500&ssl=1,https://tse1.mm.bing.net/th?id=OIP.fwpF6L54gjAeDrJp5DTYEQHaEE&pid=Api&P=0&h=180,https://im.whatshot.in/img/2020/Mar/shamiana-1583482815.jpg?q=90,colaba,4.50
32,"Shiv sagar","Popular for its vegetarian street food and Indian snacks.","Chowpatty, Girgaon, Mumbai 400004.","fast food",https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/k/q/p220416-17326339366745e5509f1a3.PNG?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/y/h/p220416-17326339436745e5574a72f.PNG?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/2/c/r/p220416-17326339306745e54a48cea.PNG?tr=tr:n-xlarge,chowpatty,4.10
31,"Shree sidhivinayak","A street-side fast-food joint offering Indian snacks like vada pav and pav bhaji.","Chowpatty, Girgaon, Mumbai 400004.","fast food",https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/s/m/p199656-17189737576675753d2bdc0.png?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/s/x/p199656-17189737686675754881ad1.png?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/s/l/p199656-17189737886675755cac30d.png?tr=tr:n-xlarge,chowpatty,4.00
33,"Third wave coffe"," A trendy caf̩ chain known for its artisanal coffee blends and light bites."," Chowpatty, Girgaon, Mumbai 400004.",cafe,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/e/g/p191462-1714077911662ac0d776bd4.png?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/b/i/p191462-1714077918662ac0de8a42a.png?tr=tr:n-xlarge,https://im1.dineout.co.in/images/uploads/restaurant/sharpen/1/a/r/p191462-1714077903662ac0cfc6ab1.png?tr=tr:n-xlarge,chowpatty,4.30
